iter	RMSE
0	3986.287642
1	3466.083674
2	3073.642086
3	2747.871914
4	2505.621002
5	2325.684124
6	2195.198928
7	2095.123589
8	2015.171131
9	1951.132088
10	1904.423895
11	1863.658456
12	1826.535419
13	1803.695222
14	1786.909546
15	1770.989853
16	1759.779167
17	1741.82751
18	1728.009155
19	1720.287809
20	1707.904434
21	1701.256696
22	1693.781791
23	1688.890761
24	1684.833248
25	1677.7758
26	1670.584421
27	1664.912532
28	1658.845008
29	1653.606643
30	1647.696713
31	1642.792172
32	1639.923862
33	1636.008364
34	1632.922439
35	1631.275443
36	1624.657256
37	1624.246022
38	1621.171994
39	1617.806684
40	1614.304995
41	1610.445054
42	1607.048258
43	1603.69899
44	1601.958884
45	1598.991676
46	1598.948659
47	1595.613127
48	1592.673291
49	1588.549032
50	1584.706154
51	1582.471295
52	1580.28906
53	1577.282858
54	1575.3131
55	1572.143169
56	1569.054673
57	1566.998213
58	1566.994536
59	1562.675433
60	1558.940592
61	1555.040918
62	1555.038287
63	1551.438453
64	1551.428861
65	1549.158793
66	1546.229998
67	1542.558169
68	1542.551492
69	1542.549454
70	1537.458991
71	1537.456656
72	1537.455009
73	1535.773058
74	1533.503156
75	1533.497925
76	1532.095803
77	1532.080303
78	1529.804973
79	1528.79268
80	1528.789961
81	1527.71932
82	1523.736688
83	1523.721266
84	1523.697977
85	1521.959101
86	1521.95212
87	1521.939657
88	1519.155966
89	1519.150655
90	1517.659492
91	1515.475036
92	1513.371369
93	1513.36676
94	1511.036312
95	1508.563714
96	1506.214745
97	1506.198506
98	1504.733833
99	1503.437076
100	1501.256515
101	1499.864831
102	1497.08299
103	1495.378143
104	1495.374493
105	1495.373315
106	1493.787854
107	1492.766789
108	1489.608833
109	1489.607547
110	1487.161951
111	1485.70183
112	1484.276628
113	1482.175671
114	1480.089668
115	1478.548556
116	1475.530168
117	1475.516111
118	1474.509629
119	1472.746942
120	1469.836648
121	1468.668072
122	1467.906012
123	1466.478867
124	1464.35453
125	1462.113626
126	1460.974239
127	1459.826139
128	1459.808756
129	1459.801621
130	1459.781476
131	1459.759927
132	1458.794605
133	1457.771881
134	1457.769216
135	1455.586793
136	1452.994479
137	1450.804672
138	1448.71155
139	1447.512058
140	1446.611843
141	1446.602872
142	1444.6393
143	1443.528024
144	1442.614438
145	1441.89842
146	1440.822023
147	1440.820089
148	1438.202002
149	1438.191323
