iter	Passed	Remaining
0	409	204191
1	759	189047
2	1102	182659
3	1441	178691
4	1809	179188
5	2138	176088
6	2496	175824
7	2890	177783
8	3229	176172
9	3579	175391
10	3892	173043
11	4261	173301
12	4667	174867
13	5031	174674
14	5391	174328
15	5788	175108
16	6157	174936
17	6460	172999
18	6844	173273
19	7215	173173
20	7603	173425
21	7972	173219
22	8320	172555
23	8702	172609
24	9053	172013
25	9384	171081
26	9753	170859
27	10185	171697
28	10591	172027
29	11016	172598
30	11441	173091
31	11782	172321
32	12098	171209
33	12398	169928
34	12745	169337
35	13076	168541
36	13402	167714
37	13530	164498
38	13926	164621
39	14281	164231
40	14623	163706
41	15035	163955
42	15344	163084
43	15727	162993
44	16113	162923
45	16458	162438
46	16505	159086
47	16951	159628
48	17353	159721
49	17718	159467
50	18056	158964
51	18454	158991
52	18847	158960
53	19266	159126
54	19678	159220
55	20107	159425
56	20468	159077
57	20866	159017
58	20925	156412
59	21308	156260
60	21737	156439
61	22060	155848
62	22110	153366
63	22502	153298
64	22612	151329
65	23090	151840
66	23479	151739
67	23850	151521
68	23915	149383
69	23966	147223
70	24311	146893
71	24357	144792
72	24396	142700
73	24813	142845
74	25113	142308
75	25198	140582
76	25605	140662
77	25797	139568
78	26195	139597
79	26519	139226
80	26577	137479
81	26900	137128
82	27243	136875
83	27417	135781
84	27653	135011
85	27959	134594
86	28127	133523
87	28373	132838
88	28809	133042
89	29031	132255
90	29403	132153
91	29830	132293
92	30180	132078
93	30271	130745
94	30750	131093
95	31199	131299
96	31674	131594
97	31895	130837
98	32207	130456
99	32620	130481
100	33014	130425
101	33402	130334
102	33763	130136
103	34173	130121
104	34350	129223
105	34439	128012
106	34884	128128
107	35245	127926
108	35646	127870
109	35779	126854
110	36123	126595
111	36512	126489
112	36856	126224
113	37269	126193
114	37635	125996
115	37988	125753
116	38391	125674
117	38728	125375
118	39159	125375
119	39494	125066
120	39853	124831
121	40251	124713
122	40644	124578
123	41090	124598
124	41481	124444
125	41902	124376
126	42422	124594
127	42887	124641
128	43251	124391
129	43455	123681
130	43741	123210
131	44092	122923
132	44502	122801
133	44915	122679
134	45143	122054
135	45596	122037
136	45970	121805
137	46296	121443
138	46640	121131
139	47089	121087
140	47446	120802
141	47844	120621
142	48353	120715
143	48797	120637
144	49243	120561
145	49708	120525
146	50076	120251
147	50129	119228
148	50474	118902
149	50730	118370
150	51106	118120
151	51416	117716
152	51779	117433
153	52128	117120
154	52635	117157
155	52716	116247
156	53254	116345
157	53628	116081
158	54015	115844
159	54397	115594
160	54757	115297
161	55100	114963
162	55526	114799
163	55892	114510
164	56236	114177
165	56618	113919
166	57011	113680
167	57414	113461
168	57805	113215
169	58187	112952
170	58623	112789
171	59091	112685
172	59442	112357
173	59950	112321
174	60516	112387
175	60880	112076
176	61253	111778
177	61664	111551
178	62060	111292
179	62462	111044
180	62699	110503
181	63087	110230
182	63432	109880
183	63833	109627
184	64191	109298
185	64539	108953
186	64975	108755
187	65366	108481
188	65546	107857
189	65904	107529
190	66226	107140
191	66644	106909
192	67028	106620
193	67444	106382
194	67729	105935
195	68142	105690
196	68490	105343
197	68847	105009
198	69226	104708
199	69544	104317
200	69876	103945
201	70175	103526
202	70266	102803
203	70724	102619
204	71126	102352
205	71480	102016
206	71883	101748
207	72282	101473
208	72643	101144
209	73118	100972
210	73545	100733
211	74006	100537
212	74458	100326
213	74904	100105
214	75295	99809
215	75621	99428
216	76206	99383
217	76639	99138
218	76838	98591
219	77190	98241
220	77535	97884
221	77945	97607
222	78456	97454
223	78830	97130
224	79342	96974
225	79825	96780
226	80325	96602
227	80697	96270
228	80983	95835
229	81542	95723
230	81947	95427
231	82343	95121
232	82733	94806
233	83105	94469
234	83383	94028
235	83464	93366
236	83819	93014
237	84169	92657
238	84502	92280
239	84920	91996
240	85336	91710
241	85723	91391
242	86123	91084
243	86471	90723
244	86839	90383
245	87214	90050
246	87547	89673
247	87883	89300
248	88252	88960
249	88646	88646
250	89057	88347
251	89408	87989
252	89765	87636
253	90089	87252
254	90448	86901
255	90830	86573
256	91153	86188
257	91520	85844
258	91875	85489
259	92183	85092
260	92504	84706
261	92830	84326
262	93166	83956
263	93498	83581
264	93817	83196
265	94157	82830
266	94559	82517
267	94901	82153
268	95280	81820
269	95610	81446
270	95964	81091
271	96268	80695
272	96635	80352
273	97011	80016
274	97390	79683
275	97783	79360
276	98133	79002
277	98483	78645
278	98862	78310
279	99216	77955
280	99547	77583
281	99953	77268
282	100349	76946
283	100696	76586
284	101110	76276
285	101433	75897
286	101817	75565
287	102179	75215
288	102601	74909
289	103022	74602
290	103390	74256
291	103792	73934
292	104137	73571
293	104447	73184
294	104779	72812
295	105102	72435
296	105441	72069
297	105752	71684
298	106069	71304
299	106436	70957
300	106744	70571
301	107130	70238
302	107461	69867
303	107772	69485
304	108090	69107
305	108436	68747
306	108776	68384
307	109075	67995
308	109425	67638
309	109461	67089
310	109837	66749
311	110205	66405
312	110612	66084
313	111001	65752
314	111316	65376
315	111638	65004
316	112017	64665
317	112407	64333
318	112736	63966
319	113148	63646
320	113493	63287
321	113826	62922
322	114144	62549
323	114481	62187
324	114851	61843
325	115229	61503
326	115673	61197
327	116053	60857
328	116421	60511
329	116773	60156
330	117085	59780
331	117422	59418
332	117785	59069
333	118180	58736
334	118596	58413
335	118987	58077
336	119334	57719
337	119706	57374
338	120108	57042
339	120531	56720
340	120877	56362
341	121242	56012
342	121600	55659
343	121913	55286
344	122287	54940
345	122652	54590
346	123050	54255
347	123481	53934
348	123819	53572
349	124156	53209
350	124564	52877
351	124910	52519
352	125290	52174
353	125638	51817
354	126004	51466
355	126368	51115
356	126669	50738
357	127061	50398
358	127399	50036
359	127687	49656
360	128030	49296
361	128410	48951
362	128746	48590
363	129132	48247
364	129463	47883
365	129807	47525
366	130150	47166
367	130549	46827
368	130981	46500
369	131368	46156
370	131736	45805
371	132081	45447
372	132401	45080
373	132771	44730
374	133182	44394
375	133552	44043
376	133944	43700
377	134310	43348
378	134662	42992
379	135056	42649
380	135438	42302
381	135848	41963
382	136294	41635
383	136646	41278
384	137025	40929
385	137446	40592
386	137819	40241
387	138196	39891
388	138543	39532
389	138917	39181
390	139367	38851
391	139736	38498
392	140080	38138
393	140537	37809
394	140975	37474
395	141360	37125
396	141751	36776
397	142141	36428
398	142564	36087
399	142935	35733
400	143295	35377
401	143632	35014
402	143993	34658
403	144384	34309
404	144757	33955
405	145133	33602
406	145630	33276
407	145990	32919
408	146395	32572
409	146757	32215
410	147153	31865
411	147587	31523
412	147995	31175
413	148464	30840
414	148957	30509
415	149398	30167
416	149801	29816
417	150150	29455
418	150478	29090
419	150856	28734
420	151245	28380
421	151681	28035
422	152090	27685
423	152481	27331
424	152847	26973
425	153282	26626
426	153692	26275
427	154060	25916
428	154407	25554
429	154855	25209
430	155238	24852
431	155662	24502
432	156100	24154
433	156537	23805
434	156951	23452
435	157328	23094
436	157726	22738
437	158138	22384
438	158589	22036
439	158978	21678
440	159318	21314
441	159685	20954
442	160023	20589
443	160449	20236
444	160813	19875
445	161197	19517
446	161580	19158
447	161934	18795
448	162281	18432
449	162712	18079
450	163126	17723
451	163538	17366
452	163910	17006
453	164296	16646
454	164713	16290
455	165086	15929
456	165516	15573
457	165885	15212
458	166251	14850
459	166631	14489
460	167119	14138
461	167554	13781
462	167941	13420
463	167969	13032
464	168284	12666
465	168724	12310
466	169154	11953
467	169551	11593
468	169944	11232
469	170276	10868
470	170689	10509
471	171019	10145
472	171408	9784
473	171824	9424
474	172165	9061
475	172546	8699
476	172941	8338
477	173289	7975
478	173695	7615
479	174055	7252
480	174425	6889
481	174844	6529
482	175263	6168
483	175655	5806
484	176045	5444
485	176423	5082
486	176820	4720
487	177206	4357
488	177602	3995
489	177915	3630
490	178291	3268
491	178730	2906
492	179076	2542
493	179484	2179
494	179848	1816
495	180233	1453
496	180593	1090
497	181012	726
498	181402	363
499	181842	0
